eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
0.86764	5.35541	0.99576	0.27399	0.85096	4.24929	4.64015	0.67891	2.33701	0.00318	3.71372	0.07078	0.00441	0.85111
0.91833	0.69979	1.00129	0.20515	0.77513	2.47281	2.06343	0.92846	2.20427	0.02565	2.89603	0.15843	0.01293	0.75236
1.42089	1.86044	1.00995	0.20349	0.42159	1.67111	2.21512	0.50169	1.48756	0.03156	7.41039	1.78040	0.02268	1.99706
1.91289	0.78829	1.01795	0.35099	0.80656	1.49979	1.19175	0.83959	4.15649	0.00499	4.54951	0.44662	0.00615	0.77483
1.92520	0.68090	0.95607	0.55548	0.47309	1.62976	4.52541	0.45559	1.47911	0.01741	8.56548	1.59114	0.01507	0.36954
1.48047	0.74861	1.03381	0.40988	0.26490	0.41937	1.66148	0.86679	4.80750	0.01985	2.87762	0.70814	0.01531	1.69567
1.82874	2.33970	0.95730	0.28546	0.45021	1.65678	2.46887	0.77876	6.26463	0.00480	7.76427	0.90938	0.00196	0.75737
0.71890	1.41801	1.00109	0.35941	0.37784	0.78973	4.67271	0.79098	1.17739	0.00121	5.17863	0.93812	0.00863	1.53742
1.06103	0.53822	1.01535	0.55294	0.38940	1.77294	2.01780	0.59098	1.36719	0.02844	8.77966	0.28534	0.01489	1.48518
1.12162	1.41120	0.95396	0.49300	0.17025	0.12367	0.96745	0.87296	1.86962	0.00207	8.63085	0.78397	0.00229	1.62312
1.41259	1.33417	0.95918	0.44042	0.35265	0.69630	0.96046	0.86993	7.51858	0.00187	5.71557	1.08301	0.00196	1.25933
1.26800	0.63438	1.01806	0.40517	0.40869	1.09202	1.04128	0.65682	2.12848	0.03441	4.33698	0.05663	0.01278	1.53225
1.42249	0.54932	0.98402	0.34288	0.27008	1.34112	0.22544	0.18795	1.28308	0.02493	7.47780	1.29209	0.01468	1.26687
1.07334	0.51592	1.04498	0.18482	0.24935	3.63674	3.36884	0.67157	5.08198	0.00527	2.32308	0.96931	0.03738	0.18040
1.53376	0.52829	0.99104	0.22865	0.66558	3.70566	1.40844	0.51435	5.61389	0.02470	4.46387	0.33828	0.00715	0.26729
1.67245	0.56338	0.97100	0.65020	0.32116	1.11073	1.01267	0.98957	3.74881	0.02214	3.86296	1.08286	0.02080	0.32168
1.16838	0.73678	1.02518	0.08700	0.23723	3.50942	4.40043	0.86413	3.31474	0.01091	2.43309	0.52226	0.01520	0.25770
1.75618	1.51231	1.03440	0.25753	0.36569	1.63651	0.77794	0.73450	1.37458	0.00330	3.69125	0.26005	0.01281	0.14695
1.58732	0.56408	1.00253	0.03625	0.14778	1.92856	3.39036	0.91220	2.08030	0.00943	1.54031	0.35659	0.02604	1.10885
1.62623	0.82558	1.03804	0.29623	0.60116	4.86255	2.74859	0.87965	1.21938	0.01173	3.34024	0.34823	0.00217	0.18740
1.30613	0.74902	0.97047	0.54095	0.79254	4.12876	2.37510	0.78438	1.09793	0.04801	6.07510	1.78115	0.00987	0.23985
1.49654	1.62323	1.01904	0.89529	0.58508	4.43475	1.99639	0.34846	2.68106	0.00736	0.95184	0.46402	0.00415	0.21040
0.51056	1.35851	0.98773	0.06362	0.39490	3.78820	1.06497	0.73644	2.10306	0.00333	2.59421	0.83891	0.04545	0.25420
1.13138	0.70060	1.00915	0.55145	0.35062	1.90948	1.49978	0.92914	3.11341	0.00176	1.82667	0.78587	0.01462	0.30033
0.88048	0.65808	1.03423	0.35575	0.09645	0.70103	2.89824	0.61207	1.00559	0.01423	3.98822	0.52462	0.01202	0.28256
1.84665	1.62723	1.02044	0.55780	0.34711	0.38441	2.53177	0.93500	1.60548	0.00157	1.85364	1.26761	0.01146	0.12921
1.82286	0.86223	0.96894	0.44042	0.70812	1.96662	2.00664	0.86101	5.22718	0.00091	1.26644	0.38968	0.00305	0.27438
1.57718	3.28458	0.97568	0.48426	0.61512	4.39709	3.94141	0.77028	7.78050	0.00039	1.82861	0.67786	0.00775	0.16741
0.72260	2.02132	1.03854	0.19699	0.22341	4.96740	4.92055	0.99170	2.90027	0.00270	5.39629	0.22553	0.00930	0.21790
0.76472	0.64896	1.01750	0.22023	0.28184	2.71224	1.60361	0.39609	2.52239	0.00381	1.05011	1.24048	0.03348	0.14207
0.86152	0.80168	0.97655	0.23440	0.52943	2.56676	2.62842	0.53149	2.13094	0.00177	1.42695	1.16972	0.03097	0.20200
1.60781	5.37488	1.01078	0.38690	0.55024	0.63724	4.90880	0.87318	2.23787	0.00179	2.14558	0.36896	0.01854	0.20577
1.62284	0.80425	1.03594	0.29273	0.42007	2.56340	1.75331	0.70048	2.31511	0.00230	5.26271	0.72772	0.04427	1.24271
0.67543	0.65338	0.97631	0.60949	0.44672	2.60638	2.51887	0.78354	2.19188	0.00136	1.53905	0.59963	0.03357	0.31202
1.26251	0.76590	0.95664	0.31006	0.28207	3.50370	2.58456	0.86599	5.86965	0.00571	6.79582	1.89669	0.01364	0.30023
1.90821	0.58049	1.04931	0.28453	0.32085	1.30439	1.01085	0.64332	8.86229	0.01274	1.20151	1.22073	0.03669	0.87175
1.35742	3.88066	0.98903	0.17056	0.30521	3.66833	2.35251	0.19544	6.64668	0.00138	1.24373	1.82450	0.01604	0.11139
1.93138	0.50748	1.03115	0.09768	0.37772	0.98334	4.69343	0.90660	3.15849	0.01287	4.11640	0.57323	0.01432	1.64899
